s_no,iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
0,AFG,Asia,Afghanistan,21/04/2024,233472,0,0,7985,0,0,5676.61,0,0,194.146,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772,,,,
1,OWID_AFR,,Africa,21/04/2024,13140629,87,12.429,259098,0,0,9210.27,0.061,0.009,181.602,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426736614,,,,
2,ALB,Europe,Albania,21/04/2024,334863,0,0,3605,0,0,117813.348,0,0,1268.331,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318,,,,
3,DZA,Africa,Algeria,21/04/2024,272023,2,0.286,6881,0,0,6057.983,0.045,0.006,153.241,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228,,,,
4,ASM,Oceania,American Samoa,21/04/2024,8359,0,0,34,0,0,188712.044,0,0,767.581,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.205,,,,,,283.75,,,,,,73.74,,44295,,,,
5,AND,Europe,Andorra,21/04/2024,48015,0,0,159,0,0,601367.684,0,0,1991.408,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,79843,,,,
6,AGO,Africa,Angola,21/04/2024,107371,6,0.857,1937,0,0,3016.972,0.169,0.024,54.427,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996,,,,
7,AIA,North America,Anguilla,21/04/2024,3904,0,0,12,0,0,245890.282,0,0,755.81,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877,,,,
8,ATG,North America,Antigua and Barbuda,21/04/2024,9106,0,0,146,0,0,97107.879,0,0,1556.968,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772,,,,
9,ARG,South America,Argentina,21/04/2024,10131173,140,20,130853,0,0,222612.632,3.076,0.439,2875.238,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
10,ARM,Asia,Armenia,21/04/2024,451831,0,0,8777,0,0,162501.547,0,0,3156.658,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472,,,,
11,ABW,North America,Aruba,21/04/2024,44224,0,0,292,0,0,415408.749,0,0,2742.84,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459,,,,
12,OWID_ASI,,Asia,07/05/2024,301403368,3252,464.571,1636895,28,4,63837.936,0.689,0.098,346.698,0.006,0.001,,,,,,,,,,,,,,,,,,,9102111272,3689175055,3461831010,1814837873,21,214,192.78,78.14,73.32,38.44,0,10,0,,,,,,,,,,,,,,,,4721383370,,,,
13,AUS,Oceania,Australia,21/04/2024,11836372,4399,628.429,25165,17,2.429,452159.782,168.046,24.007,961.325,0.649,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,26177410,,,,
